Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
68e2d5125191fac855909134,Buscar un producto electrónico.,https://trello.com/c/RgZJw7Dd/7-buscar-un-producto-electr%C3%B3nico,"Como cliente, quiero poder buscar un producto electrónico por nombre para ver sus distintas ofertas en distintas tiendas.",,,,0,,4,0,0,0,2025-10-05T20:29:20.118Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d5125191fac855909133,Ver comparación de precios por tienda.,https://trello.com/c/ZiLFZz8l/8-ver-comparaci%C3%B3n-de-precios-por-tienda,"Como cliente, quiero ver en una sola pantalla los distintos precios de un mismo producto para elegir la mejor oferta.",,,,0,,2,0,0,0,2025-10-05T20:29:20.118Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d5125191fac85590914c,Ver tiempo de entrega estimado.,https://trello.com/c/3iCv5mzU/15-ver-tiempo-de-entrega-estimado,"Como cliente, quiero saber cuanto tardará en llegar cada producto si lo compro en cada tienda.",,,,0,,2,0,0,0,2025-10-05T20:29:20.129Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d6840cd79cbe4e3b3c74,Registrarse en el sistema.,https://trello.com/c/kh9yT0uO/19-registrarse-en-el-sistema,"Como cliente, quiero poder registrarme en el sistema para hacer un inicio de sesión posterior.",,,,0,,4,0,0,0,2025-10-05T20:37:29.474Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d5125191fac855909135,Inicio de sesión en el sistema.,https://trello.com/c/ADuccatb/14-inicio-de-sesi%C3%B3n-en-el-sistema,"Como cliente, quiero poder registrarme en la plataforma e iniciar sesión a través de ella.",,,,0,,3,0,0,0,2025-10-05T20:29:20.130Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d5125191fac855909136,Ver fecha de la última actualización.,https://trello.com/c/NC0FPVFi/13-ver-fecha-de-la-%C3%BAltima-actualizaci%C3%B3n,"Como cliente, quiero saber cuando se actualizó por última vez la información de precios.",,,,0,,2,0,0,0,2025-10-05T20:29:20.126Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d5125191fac855909132,Uso de la herramienta desde dispositivos móviles.,https://trello.com/c/aPDWBIxZ/12-uso-de-la-herramienta-desde-dispositivos-m%C3%B3viles,"Como usuario, quiero poder usar la herramienta desde mi celular sin problemas de visualización.",,,,0,,2,0,0,0,2025-10-05T20:29:20.130Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d5125191fac855909137,Reportar un precio incorrecto.,https://trello.com/c/2V7xtqkq/11-reportar-un-precio-incorrecto,"Como cliente, quiero poder reportar si existe un precio erróneo o desactualizado.",,,,0,,2,0,0,0,2025-10-05T20:29:20.130Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d5125191fac85590913e,Ver si hay envío gratis.,https://trello.com/c/jYG7LmdY/10-ver-si-hay-env%C3%ADo-gratis,"Como cliente, quiero verificar si alguna tienda ofrece envío gratuito con cierto producto.",,,,0,,2,0,0,0,2025-10-05T20:29:20.126Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
68e2d5125191fac855909130,Agrupar correctamente el mismo modelo de un producto.,https://trello.com/c/K26Q6YIm/9-agrupar-correctamente-el-mismo-modelo-de-un-producto,"Como cliente, quiero que el sistema reconozca la búsqueda realizada en base al modelo de un producto, aunque sea buscado de maneras diferentes.",,,,0,,2,0,0,0,2025-10-05T20:29:20.134Z,68e2d5125191fac8559090a1,Lista de tareas,68e2c908e26c6d35a2fb3571,Proyecto Software,false,,false,
